rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
3,NA,NA,Wolmers' Boys School,4x100 Meter Relay,NA,NA,41.06,40.77,NA,NA
4,NA,NA,Munro College,4x100 Meter Relay,NA,NA,41.01,40.89,NA,NA
5,NA,NA,Camperdown High School,4x100 Meter Relay,NA,NA,41.59,41.02,NA,NA
6,NA,NA,Kingston College,4x100 Meter Relay,NA,NA,41.60,40.97,NA,NA
7,NA,NA,Calabar High,4x100 Meter Relay,NA,NA,41.70,41.25,NA,NA
8,NA,NA,Jamaica College,4x100 Meter Relay,NA,NA,null,41.29,NA,NA
9,NA,NA,St. Jago High,4x100 Meter Relay,NA,NA,null,41.54,NA,NA
10,NA,NA,Herbert Morrison Technical,4x100 Meter Relay,NA,NA,null,41.55,NA,NA
11,NA,NA,Dinthill Technical High School,4x100 Meter Relay,NA,NA,null,41.60,NA,NA
12,NA,NA,Manchester High,4x100 Meter Relay,NA,NA,null,42.03,NA,NA
13,NA,NA,Excelsior High,4x100 Meter Relay,NA,NA,null,42.48,NA,NA
14,NA,NA,Bellefield High School,4x100 Meter Relay,NA,NA,null,42.83,NA,NA
15,NA,NA,Petersfield High,4x100 Meter Relay,NA,NA,null,43.12,NA,NA
16,NA,NA,Greater Portmore High School,4x100 Meter Relay,NA,NA,null,43.38,NA,NA
17,NA,NA,Buff Bay High,4x100 Meter Relay,NA,NA,null,43.45,NA,NA
18,NA,NA,Tacius Golding High School,4x100 Meter Relay,NA,NA,null,43.46,NA,NA
19,NA,NA,Rusea's High,4x100 Meter Relay,NA,NA,null,43.77,NA,NA
20,NA,NA,William Knibb High,4x100 Meter Relay,NA,NA,null,43.98,NA,NA
21,NA,NA,Charlemont High,4x100 Meter Relay,NA,NA,null,44.37,NA,NA
22,NA,NA,St. James High,4x100 Meter Relay,NA,NA,null,44.43,NA,NA
23,NA,NA,Cumberland High,4x100 Meter Relay,NA,NA,null,44.66,NA,NA
24,NA,NA,Charlie Smith High,4x100 Meter Relay,NA,NA,null,44.82,NA,NA
25,NA,NA,St. Andrew College,4x100 Meter Relay,NA,NA,null,44.97,NA,NA
26,NA,NA,Porus High,4x100 Meter Relay,NA,NA,null,45.00,NA,NA
27,NA,NA,Ardenne High,4x100 Meter Relay,NA,NA,null,45.94,NA,NA
28,NA,NA,Godfrey Stewart High,4x100 Meter Relay,NA,NA,null,46.05,NA,NA
29,NA,NA,Dunoon Technical High School,4x100 Meter Relay,NA,NA,null,46.52,NA,NA
30,NA,NA,Haile Selassie High,4x100 Meter Relay,NA,NA,null,46.72,NA,NA
--,NA,NA,Fair Prospect High,4x100 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Holmwood Technical,4x100 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Donald Quarrie High School,4x100 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Claude McKAY High,4x100 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Old Harbour High,4x100 Meter Relay,NA,NA,null,DQ,NA,NA
--,NA,NA,Spanish Town High,4x100 Meter Relay,NA,NA,null,DNS,NA,NA
--,NA,NA,Titchfield High School,4x100 Meter Relay,NA,NA,null,DNS,NA,NA
--,NA,NA,Central High,4x100 Meter Relay,NA,NA,null,DNS,NA,NA
--,NA,NA,Glenmuir High,4x100 Meter Relay,NA,NA,null,DNS,NA,NA
1,Andre McFARLENE,17,Oberlin High,400 Meter Dash Decathlon,Track,NA,null,50.23,null,80
2,Darron Hunter,17,Kingston College,400 Meter Dash Decathlon,Track,NA,null,51.46,null,74
3,Brandon Clarke,18,Wolmers' Boys,400 Meter Dash Decathlon,Track,NA,null,52.39,null,70
4,Clifton Lee,18,Munro College,400 Meter Dash Decathlon,Track,NA,null,52.40,null,70
5,Oshan Webb,17,Spot Valley High,400 Meter Dash Decathlon,Track,NA,null,52.80,null,69
6,Giovannie White,19,Jamaica College,400 Meter Dash Decathlon,Track,NA,null,53.77,null,64
7,Sanjay Ricketts,19,Central High,400 Meter Dash Decathlon,Track,NA,null,54.17,null,63
8,Adrian Riley,19,Calabar High,400 Meter Dash Decathlon,Track,NA,null,54.50,null,61
9,Kemol Burnett,16,Camperdown,400 Meter Dash Decathlon,Track,NA,null,54.88,null,60
10,Waquar Larrington,17,St. Jago High,400 Meter Dash Decathlon,Track,NA,null,54.93,null,60
11,Zavia Lynch,17,Godfrey Stewart,400 Meter Dash Decathlon,Track,NA,null,59.14,null,44
12,Stachell Williams,17,Ocho Rios High,400 Meter Dash Decathlon,Track,NA,null,1:03.09,null,31
13,Elswick Moncrieffe,19,Excelsior High,400 Meter Dash Decathlon,Track,NA,null,1:05.40,null,24
14,Aldain Harris,17,Dinthill,400 Meter Dash Decathlon,Track,NA,null,1:05.63,null,24
--,Warren Palmer,16,McGRATH High,400 Meter Dash Decathlon,Track,NA,null,DNS,null,null
1,Sanje Pantry,18,St. Jago High,2000 Meter Steeplechase,Track,NA,6:10.10,6:27.89,NA,NA
2,Aaron Lee,17,Jamaica College,2000 Meter Steeplechase,Track,NA,null,6:31.27,NA,NA
3,Rohan Simms,17,Titchfield High,2000 Meter Steeplechase,Track,NA,null,6:31.59,NA,NA
4,Palmer Nambhard,18,Bellefield,2000 Meter Steeplechase,Track,NA,7:04.00,6:41.38,NA,NA
5,Ricardo Lawes,17,Edwin Allen High,2000 Meter Steeplechase,Track,NA,7:20.61,6:46.47,NA,NA
6,Jamie Williams,19,Dinthill,2000 Meter Steeplechase,Track,NA,null,6:51.34,NA,NA
7,Ricardo Anon,17,Calabar High,2000 Meter Steeplechase,Track,NA,null,6:54.73,NA,NA
8,Lerone Haye,16,Ocho Rios High,2000 Meter Steeplechase,Track,NA,8:46.82,7:18.95,NA,NA
9,Zavia Simpson,19,Claude McKAY High,2000 Meter Steeplechase,Track,NA,null,7:27.71,NA,NA
10,Odane Dennison,17,Godfrey Stewart,2000 Meter Steeplechase,Track,NA,null,8:20.36,NA,NA
11,Gervan Garrison,15,Vauxhall High,2000 Meter Steeplechase,Track,NA,null,8:20.79,NA,NA
--,Rohan Maragh,19,Tacius Golding,2000 Meter Steeplechase,Track,NA,null,DNF,NA,NA
--,Shoska Graham,15,Mona High School,2000 Meter Steeplechase,Track,NA,null,DNS,NA,NA
1,Webster Chung,19,St. Jago High,2000 Meter Steeplechase,Track,NA,null,6:33.24,NA,NA
2,Jermaine James,18,Kingston College,2000 Meter Steeplechase,Track,NA,null,6:43.85,NA,NA
3,Damion Douglas,17,Hydel High,2000 Meter Steeplechase,Track,NA,7:20.90,6:48.41,NA,NA
4,Kemar Barrett,18,Wolmers' Boys,2000 Meter Steeplechase,Track,NA,6:35.58,6:49.05,NA,NA
5,Christopher Francis,17,Campion College,2000 Meter Steeplechase,Track,NA,null,7:08.55,NA,NA
6,Demoy Dunkley,16,Balaclava High,2000 Meter Steeplechase,Track,NA,null,7:12.84,NA,NA
7,Warren Dunn,19,Calabar High,2000 Meter Steeplechase,Track,NA,null,7:43.03,NA,NA
8,Rushawn Lindo,16,Titchfield High,2000 Meter Steeplechase,Track,NA,null,7:53.85,NA,NA
9,Marco Silvera,16,Mona High School,2000 Meter Steeplechase,Track,NA,null,8:50.64,NA,NA
--,Dwayne Robinson,17,Holy Trinity High,2000 Meter Steeplechase,Track,NA,null,DNS,NA,NA
--,Shaquille Spence,18,Holmwood Technical,2000 Meter Steeplechase,Track,NA,6:37.63,DNS,NA,NA
--,Jannoi Newman,17,Spanish Town High,2000 Meter Steeplechase,Track,NA,7:31.88,DNS,NA,NA
--,Oneil Malcolm,15,Vauxhall High,2000 Meter Steeplechase,Track,NA,null,DNS,NA,NA
1,Bejaun Jones,18,Jamaica College,2000 Meter Steeplechase,Track,NA,null,6:37.58,NA,NA
2,Sherdaine Johnson,18,Holmwood Technical,2000 Meter Steeplechase,Track,NA,6:37.36,6:47.07,NA,NA
3,Michael Chambers,17,May Day High,2000 Meter Steeplechase,Track,NA,null,6:51.00,NA,NA
4,Jahnoy Bond,17,Manchester High,2000 Meter Steeplechase,Track,NA,null,6:52.68,NA,NA
5,Leon Parham,18,Kingston College,2000 Meter Steeplechase,Track,NA,null,6:56.20,NA,NA
6,Fabian Montique,19,Campion College,2000 Meter Steeplechase,Track,NA,6:41.10,6:57.53,NA,NA
7,Dewite Douglas,18,Edwin Allen High,2000 Meter Steeplechase,Track,NA,7:27.74,7:03.33,NA,NA
8,Sheneal Coward,17,Guy's Hill High,2000 Meter Steeplechase,Track,NA,null,7:03.90,NA,NA
9,Duval Ashley,18,Wolmers' Boys,2000 Meter Steeplechase,Track,NA,null,7:11.34,NA,NA
10,Jason Edwards,18,Tacius Golding,2000 Meter Steeplechase,Track,NA,null,7:37.91,NA,NA
11,Damion Prendergast,18,Munro College,2000 Meter Steeplechase,Track,NA,7:21.00,7:43.26,NA,NA
12,Odain Foster,17,Ferncourt High,2000 Meter Steeplechase,Track,NA,null,7:43.56,NA,NA
--,Sadeakie Morgan,17,Bog Walk,2000 Meter Steeplechase,Track,NA,null,DNF,NA,NA
--,Fabian Davis,17,Haile Selassie High,2000 Meter Steeplechase,Track,NA,null,DNF,NA,NA
1,Kathleen Smith,13,Ardenne High,High Jump,Field,NA,1.35m,1.40m,NA,NA
1,Beanca Ebanks,13,Wolmers Girls,High Jump,Field,NA,1.55m,1.40m,NA,NA
1,Zinedine Russell,12,Convent OF Mercy,High Jump,Field,NA,1.50m,1.40m,NA,NA
1,Arieka Clarke,13,Vere Technical,High Jump,Field,NA,1.55m,1.40m,NA,NA
10,Joel Robinson,13,Hydel High,High Jump,Field,NA,1.55m,1.35m,NA,NA
1,Janiel Moore,13,Edwin Allen High,High Jump,Field,NA,1.40m,1.40m,NA,NA
1,Gabrielle Foster,13,Convent OF Mercy,High Jump,Field,NA,1.55m,1.40m,NA,NA
1,Gayon Gilzene,13,Excelsior High,High Jump,Field,NA,1.40m,1.40m,NA,NA
1,Celia Lawson,12,Ardenne High,High Jump,Field,NA,1.45m,1.40m,NA,NA
1,Kashama Carter,13,Wolmers Girls,High Jump,Field,NA,1.50m,1.40m,NA,NA
1,Garnesha Campbell,13,Holmwood Technical,High Jump,Field,NA,1.55m,1.40m,NA,NA
1,Shaday Anderson,13,Oberlin High,High Jump,Field,NA,1.45m,1.40m,NA,NA
1,Jamie-Lee Brown,13,St. Andrew High,High Jump,Field,NA,1.55m,1.40m,NA,NA
9,Alyssa Boothe,12,Manchester High,High Jump,Field,NA,1.45m,1.35m,NA,NA
9,Satanya Wright,12,St. Elizabeth TE,High Jump,Field,NA,1.45m,1.35m,NA,NA
11,Tissann Hickling,13,St. Jago High,High Jump,Field,NA,1.50m,1.30m,NA,NA
1,Renaldo Richards,13,Oberlin High,Long Jump,Field,NA,5.65m,6.23m,NA,NA
2,Chavez Brooks,14,Wolmers' Boys,Long Jump,Field,NA,6.26m,6.12m,NA,NA
3,Kevonn Nichols,14,St. Elizabeth TE,Long Jump,Field,NA,5.78m,5.99m,NA,NA
4,Javaughn Fowler,14,Calabar High,Long Jump,Field,NA,5.69m,5.94m,NA,NA
5,Rogel O'Sullivan,14,Calabar High,Long Jump,Field,NA,5.45m,5.88m,NA,NA
6,Sean Wright,14,Kingston College,Long Jump,Field,NA,5.91m,5.83m,NA,NA
7,Sheldon McKOY,14,Jamaica College,Long Jump,Field,NA,5.57m,5.76m,NA,NA
8,Ajani James,14,Jamaica College,Long Jump,Field,NA,5.59m,5.73m,NA,NA
9,Thomas Eldridge,14,Holmwood Technical,Long Jump,Field,NA,5.44m,5.71m,NA,NA
10,Akeem Patterson,14,St. Elizabeth TE,Long Jump,Field,NA,5.82m,5.68m,NA,NA
11,Shammawi Welington,13,Kingston College,Long Jump,Field,NA,5.84m,5.67m,NA,NA
12,Jaheel Hyde,14,Wolmers' Boys,Long Jump,Field,NA,5.72m,5.65m,NA,NA
13,Zaheem Anderson,14,Herbert Morrison,Long Jump,Field,NA,5.53m,5.63m,NA,NA
14,Telphia Hines,14,Donald Quarrie,Long Jump,Field,NA,5.19m,5.60m,NA,NA
15,Alicks Davis,13,Mannings High,Long Jump,Field,NA,5.57m,5.49m,NA,NA
16,Jowayne Johnson,14,ST Thomas Technical,Long Jump,Field,NA,5.11m,5.42m,NA,NA
17,Roje Jackson-Chin,14,St. Jago High,Long Jump,Field,NA,5.89m,5.38m,NA,NA
17,Travis Thompson,14,Campion College,Long Jump,Field,NA,6.13m,5.38m,NA,NA
19,Jordan Chin,14,St. Jago High,Long Jump,Field,NA,5.45m,5.27m,NA,NA
20,Alrick Ottey,13,Cornwall College,Long Jump,Field,NA,4.64m,5.25m,NA,NA
21,Tajj Anderson,14,Titchfield High,Long Jump,Field,NA,4.95m,5.21m,NA,NA
22,Karlando Eccleston,14,Muschett High,Long Jump,Field,NA,5.06m,5.17m,NA,NA
23,Kahjay Morris,14,Charlemont High,Long Jump,Field,NA,4.68m,5.11m,NA,NA
24,Raphael Walker,13,Seaforth High,Long Jump,Field,NA,4.86m,5.00m,NA,NA
25,Junior Brown,14,Hydel High,Long Jump,Field,NA,5.25m,4.99m,NA,NA
26,Delano Rose,14,Dinthill,Long Jump,Field,NA,5.89m,4.97m,NA,NA
27,Lorne Barrett,13,Campion College,Long Jump,Field,NA,5.82m,4.94m,NA,NA
28,Dajon Wright,13,DeCARTERET College,Long Jump,Field,NA,4.91m,4.90m,NA,NA
29,Damani Miller,14,Manchester High,Long Jump,Field,NA,5.30m,4.78m,NA,NA
30,Sean Pollack,14,Knox College,Long Jump,Field,NA,4.89m,4.69m,NA,NA
31,Asani Hylton,14,Godfrey Stewart,Long Jump,Field,NA,4.88m,4.63m,NA,NA
31,Javaonie Lewis,14,Greater Portmore,Long Jump,Field,NA,4.69m,4.63m,NA,NA
33,Nicolie Shemar Nelson,13,Jose Marti,Long Jump,Field,NA,4.70m,4.62m,NA,NA
34,Nicolas Waugh,14,St. James High,Long Jump,Field,NA,5.33m,4.59m,NA,NA
35,Jordane Minnott,14,Old Harbour High,Long Jump,Field,NA,5.39m,4.22m,NA,NA
--,Fabian Hewitt,14,Bog Walk,Long Jump,Field,NA,5.31m,FOUL,NA,NA
--,Daniel Findlay,14,Camperdown High,Long Jump,Field,NA,4.97m,FOUL,NA,NA
--,Orion Cunningham,13,Spot Valley High,Long Jump,Field,NA,4.65m,DNS,NA,NA
--,Shackeel Jackson,14,Grange Hill High,Long Jump,Field,NA,5.05m,DNS,NA,NA
1,Aleitha McLaughlin,15,St. Elizabeth TE,1500 Meter Run,Track,NA,4:48.25,4:49.68,NA,NA
2,Shanieke Watson,15,Holmwood Technical,1500 Meter Run,Track,NA,4:56.60,4:50.43,NA,NA
3,Shanakay South,15,St. Jago High,1500 Meter Run,Track,NA,5:03.24,4:59.16,NA,NA
4,Nickesha Reid,15,Edwin Allen High,1500 Meter Run,Track,NA,4:59.85,5:02.11,NA,NA
5,Sophia Shaw,14,Vere Technical,1500 Meter Run,Track,NA,5:14.98,5:09.30,NA,NA
6,Stacy-Ann Moyston,14,Albert Town High,1500 Meter Run,Track,NA,5:19.02,5:20.34,NA,NA
7,Tashna  T Logan,15,Cross Keys High,1500 Meter Run,Track,NA,5:21.24,5:27.13,NA,NA
8,Natara McCalla,15,Old Harbour High,1500 Meter Run,Track,NA,5:40.00,5:27.66,NA,NA
9,Lisa Hall,14,Holy Childhood,1500 Meter Run,Track,NA,5:29.08,5:35.01,NA,NA
10,Nelecia Richards,15,Titchfield High,1500 Meter Run,Track,NA,5:44.49,5:41.21,NA,NA
--,Shadae Campbell,14,Maud McLEOD,1500 Meter Run,Track,NA,5:31.41,DNS,NA,NA
1,Lisa Buchanan,14,Holmwood Technical,1500 Meter Run,Track,NA,4:51.80,4:52.74,NA,NA
2,Chevel Jackson,15,Ocho Rios High,1500 Meter Run,Track,NA,5:07.29,4:54.92,NA,NA
3,Dercia Pitters,14,Edwin Allen High,1500 Meter Run,Track,NA,5:09.24,4:56.01,NA,NA
4,Roshae Burrell,15,St. Jago High,1500 Meter Run,Track,NA,4:56.24,4:56.13,NA,NA
5,Priscila Brown,14,Central High,1500 Meter Run,Track,NA,5:24.70,5:30.72,NA,NA
6,Davina Canaan,15,Happy Grove High,1500 Meter Run,Track,NA,5:25.51,5:34.92,NA,NA
7,Treya Picking,15,St. Andrew High,1500 Meter Run,Track,NA,5:34.12,5:47.73,NA,NA
--,Jolie Girard,15,Cross Keys High,1500 Meter Run,Track,NA,5:27.24,DNS,NA,NA
--,Shamona Hunt,15,Glengoffe High,1500 Meter Run,Track,NA,5:18.12,DNS,NA,NA
--,Tamara Leckie,15,Guy's Hill High,1500 Meter Run,Track,NA,5:17.30,DNS,NA,NA
1,Danniel Thomas,18,Edwin Allen High,Shot Put,Field,NA,13.71m,11.27m,NA,NA
2,Samantha Hall,18,St. Jago High,Shot Put,Field,NA,12.95m,11.15m,NA,NA
3,Debisha Scarlett,18,Maud McLEOD,Shot Put,Field,NA,11.09m,11.04m,NA,NA
3,Devene Brown,18,St. Hugh's High,Shot Put,Field,NA,12.18m,11.04m,NA,NA
5,Jenese Colguhoun,18,Herbert Morrison,Shot Put,Field,NA,11.08m,10.99m,NA,NA
6,Gleneve Grange,16,Holmwood Technical,Shot Put,Field,NA,11.61m,10.54m,NA,NA
7,Aprell Williams,17,Wolmers Girls,Shot Put,Field,NA,11.63m,10.37m,NA,NA
8,Amanda Jenkins,17,Immaculate Conce,Shot Put,Field,NA,10.48m,10.35m,NA,NA
9,Sheena Powell,17,Manchester High,Shot Put,Field,NA,10.10m,9.97m,NA,NA
10,Venique Harris,15,St. Andrew High,Shot Put,Field,NA,10.15m,9.90m,NA,NA
11,Conique Moore,19,Titchfield High,Shot Put,Field,NA,8.60m,9.66m,NA,NA
12,Sharnett Francis,18,Claude McKAY High,Shot Put,Field,NA,9.19m,9.04m,NA,NA
13,Diandra Swaby,18,Dunoon,Shot Put,Field,NA,10.40m,9.00m,NA,NA
14,Shaniel Anglin,18,Tacius Golding,Shot Put,Field,NA,8.27m,8.73m,NA,NA
15,Rashell Reid,17,Mannings High,Shot Put,Field,NA,10.11m,8.65m,NA,NA
16,Andre-Ann Anderson,15,The Queen's School,Shot Put,Field,NA,8.30m,8.55m,NA,NA
17,Shanalee Greenfield,16,Spot Valley High,Shot Put,Field,NA,8.07m,7.99m,NA,NA
18,Racquel Thomas,18,Ardenne High,Shot Put,Field,NA,7.85m,7.06m,NA,NA
--,Shawna-Kay Townsend,16,Glengoffe High,Shot Put,Field,NA,8.77m,ND,NA,NA
1,Serena Canegan,19,Vere Technical,Shot Put,Field,NA,12.15m,11.60m,NA,NA
2,Kellion Knibb,17,St. Jago High,Shot Put,Field,NA,13.53m,11.55m,NA,NA
3,Serita Roache,19,St. Hugh's High,Shot Put,Field,NA,11.43m,10.77m,NA,NA
4,Sasha-Gay Marston,18,Edwin Allen High,Shot Put,Field,NA,12.53m,10.44m,NA,NA
5,Judian Duhaney,16,Holmwood Technical,Shot Put,Field,NA,10.53m,10.34m,NA,NA
6,Dorian Anderson,18,Buff Bay High,Shot Put,Field,NA,11.71m,10.28m,NA,NA
7,Dana Decardova,19,Manchester High,Shot Put,Field,NA,10.84m,10.17m,NA,NA
8,Omesha Locke,16,Mannings High,Shot Put,Field,NA,9.99m,10.12m,NA,NA
9,Gabrielle Murdock,17,Immaculate Conce,Shot Put,Field,NA,10.27m,10.08m,NA,NA
10,Syriece Jones,18,Titchfield High,Shot Put,Field,NA,9.52m,9.76m,NA,NA
11,Dafimer Gordon,16,Spanish Town High,Shot Put,Field,NA,9.76m,9.53m,NA,NA
12,Katherine Nevers,16,Spalding High,Shot Put,Field,NA,8.32m,9.38m,NA,NA
13,Tsahai Ricketts,16,Excelsior High,Shot Put,Field,NA,8.96m,9.32m,NA,NA
14,Decoda Simpson,16,St. Andrew High,Shot Put,Field,NA,11.34m,9.27m,NA,NA
15,Georgia Mason,14,Glenmuir High,Shot Put,Field,NA,8.50m,9.15m,NA,NA
16,Kevona Giscombe,15,St. Hildas High,Shot Put,Field,NA,8.12m,8.39m,NA,NA
17,Kadeem Jones,16,Hopewell High,Shot Put,Field,NA,7.56m,7.95m,NA,NA
18,Yolande Richards,19,Ocho Rios High,Shot Put,Field,NA,8.08m,7.91m,NA,NA
19,Codian Brown,16,St. Andrew College,Shot Put,Field,NA,7.81m,6.91m,NA,NA
--,Felicia Streete,16,Grange Hill High,Shot Put,Field,NA,8.90m,DNS,NA,NA
1,Rayon Butler,13,Holmwood Technical,1500 Meter Run,Track,NA,4:41.38,5:05.40,NA,NA
2,Orville Dixon,13,Calabar High,1500 Meter Run,Track,NA,4:18.64,5:08.15,NA,NA
3,Ryan Holmes,14,Edwin Allen High,1500 Meter Run,Track,NA,4:34.60,5:09.85,NA,NA
4,Nakeem Hemmings,14,Jamaica College,1500 Meter Run,Track,NA,4:33.81,5:09.86,NA,NA
5,Demoy Farquharson,14,Knox College,1500 Meter Run,Track,NA,4:41.40,5:11.27,NA,NA
6,Ackeem Stewart,14,Happy Grove High,1500 Meter Run,Track,NA,4:47.52,5:14.52,NA,NA
7,Andre Blair,14,Wolmers' Boys,1500 Meter Run,Track,NA,4:47.49,5:15.90,NA,NA
8,Andre Bennett,14,Cornwall College,1500 Meter Run,Track,NA,4:39.50,5:17.23,NA,NA
9,Shadane Chambers,13,Petersfield High,1500 Meter Run,Track,NA,4:39.50,5:32.36,NA,NA
1,Shavanes Robinson,14,Titchfield High,1500 Meter Run,Track,NA,4:31.34,4:43.13,NA,NA
2,Kemar McCALLUM,15,Jamaica College,1500 Meter Run,Track,NA,4:34.70,4:43.80,NA,NA
3,Leo Robinson,14,Holmwood Technical,1500 Meter Run,Track,NA,4:39.90,4:44.38,NA,NA
4,Tion Gray,14,Petersfield High,1500 Meter Run,Track,NA,4:28.50,4:44.67,NA,NA
5,Daniel Wint,14,Manchester High,1500 Meter Run,Track,NA,4:40.22,4:49.36,NA,NA
6,Jahneil Burnett,14,Kingston College,1500 Meter Run,Track,NA,4:46.92,4:53.32,NA,NA
7,Brandon Bagoo,14,Munro College,1500 Meter Run,Track,NA,4:47.28,4:53.63,NA,NA
8,Chevenne Hamilton,13,Calabar High,1500 Meter Run,Track,NA,4:36.00,4:55.20,NA,NA
1,Tara-Sue Barnett,17,Edwin Allen High,Discus Throw,Field,NA,46.05m,33.59m,NA,NA
2,Sheena Powell,17,Manchester High,Discus Throw,Field,NA,41.31m,33.57m,NA,NA
3,Natanya McNeish,16,Holmwood Technical,Discus Throw,Field,NA,37.15m,32.05m,NA,NA
4,Shannique Waite,16,St. Jago High,Discus Throw,Field,NA,37.90m,31.39m,NA,NA
5,Aprell Williams,17,Wolmers Girls,Discus Throw,Field,NA,30.00m,30.60m,NA,NA
6,Samantha Johnson,17,Immaculate Conce,Discus Throw,Field,NA,38.31m,30.33m,NA,NA
7,Tsahai Ricketts,16,Excelsior High,Discus Throw,Field,NA,27.00m,29.96m,NA,NA
8,Janiel Reid,17,Vere Technical,Discus Throw,Field,NA,36.26m,29.72m,NA,NA
9,Glenice Smith,17,Buff Bay High,Discus Throw,Field,NA,28.06m,28.66m,NA,NA
10,Decoda Simpson,16,St. Andrew High,Discus Throw,Field,NA,34.46m,28.41m,NA,NA
11,Rashell Reid,17,Mannings High,Discus Throw,Field,NA,28.11m,28.35m,NA,NA
12,Anastasia Surtees,16,St. Hugh's High,Discus Throw,Field,NA,32.28m,28.24m,NA,NA
--,Latoya Lindo,17,St. Elizabeth TE,Discus Throw,Field,NA,29.65m,DNS,NA,NA
1,Gleneve Grange,16,Holmwood Technical,Discus Throw,Field,NA,42.98m,38.15m,NA,NA
2,Kellion Knibb,17,St. Jago High,Discus Throw,Field,NA,42.00m,36.45m,NA,NA
3,Tasha Crosse,16,Edwin Allen High,Discus Throw,Field,NA,40.66m,32.12m,NA,NA
4,Sabina Allen,16,Vere Technical,Discus Throw,Field,NA,35.75m,31.93m,NA,NA
5,Sherice McIntosh,16,St. Hugh's High,Discus Throw,Field,NA,33.09m,31.16m,NA,NA
6,Felicia Streete,16,Grange Hill High,Discus Throw,Field,NA,27.26m,30.98m,NA,NA
7,Alethia Edwards,17,Wolmers Girls,Discus Throw,Field,NA,34.24m,30.82m,NA,NA
8,Shereece Smith,16,Manchester High,Discus Throw,Field,NA,32.61m,30.44m,NA,NA
9,Omesha Locke,16,Mannings High,Discus Throw,Field,NA,35.24m,29.98m,NA,NA
10,Dafimer Gordon,16,Spanish Town High,Discus Throw,Field,NA,25.54m,29.50m,NA,NA
11,Georgia Williams,17,St. Andrew High,Discus Throw,Field,NA,34.74m,29.19m,NA,NA
12,Jonelle Graham,16,Buff Bay High,Discus Throw,Field,NA,29.65m,28.85m,NA,NA
13,MACY McFarlane,16,Happy Grove High,Discus Throw,Field,NA,25.57m,24.57m,NA,NA
14,Teriq Amos,16,Holy Childhood,Discus Throw,Field,NA,27.17m,23.68m,NA,NA
1,Marleena Eubanks,16,Edwin Allen High,1500 Meter Run,Track,NA,4:43.13,4:47.66,NA,NA
2,Kimberlee Hinds,17,Holmwood Technical,1500 Meter Run,Track,NA,4:51.75,4:53.88,NA,NA
3,Shevel McDonald,17,St. Jago High,1500 Meter Run,Track,NA,4:51.24,4:55.30,NA,NA
4,Candice Higgins,16,Excelsior High,1500 Meter Run,Track,NA,5:18.92,4:58.87,NA,NA
5,Janielle Taylor,17,Ferncourt High,1500 Meter Run,Track,NA,5:16.43,5:20.19,NA,NA
6,Tishmar Tomlinson,16,Godfrey Stewart,1500 Meter Run,Track,NA,5:23.40,5:25.19,NA,NA
7,Sanique Richards,16,Glengoffe High,1500 Meter Run,Track,NA,5:25.06,5:26.56,NA,NA
8,Shevanice Edwards,17,Tacius Golding,1500 Meter Run,Track,NA,5:26.24,5:38.65,NA,NA
--,Rosheika Lee,16,Kellits High,1500 Meter Run,Track,NA,5:27.45,DNF,NA,NA
1,Carla Thompson,17,Edwin Allen High,1500 Meter Run,Track,NA,4:46.42,4:52.71,NA,NA
2,Danique Derby,17,Spalding High,1500 Meter Run,Track,NA,5:20.24,4:54.06,NA,NA
3,Sherene Whyte,17,Holmwood Technical,1500 Meter Run,Track,NA,5:08.30,4:54.64,NA,NA
4,Antonette Gray,16,St. Jago High,1500 Meter Run,Track,NA,5:01.24,4:58.84,NA,NA
5,Taska Johnson,17,Vere Technical,1500 Meter Run,Track,NA,4:48.24,4:58.98,NA,NA
6,Kemo Anderson,16,Manchester High,1500 Meter Run,Track,NA,4:54.52,5:04.33,NA,NA
7,Shauna-Lee Brown,17,Tacius Golding,1500 Meter Run,Track,NA,5:25.24,5:10.99,NA,NA
8,Tasheka Hamilton,17,Guy's Hill High,1500 Meter Run,Track,NA,5:26.91,5:25.98,NA,NA
9,Chevelle Walker,16,Holy Trinity High,1500 Meter Run,Track,NA,5:43.77,5:49.85,NA,NA
8,Navarro Channez Walker,16,Spalding High,1500 Meter Run,Track,NA,4:29.00,4:26.80,NA,NA
9,Jason Lewis,16,Munro College,1500 Meter Run,Track,NA,4:16.07,4:31.09,NA,NA
10,Ricardo Campbell,16,Camperdown High,1500 Meter Run,Track,NA,4:34.76,4:38.03,NA,NA
11,Fudail Mangroo,16,Buff Bay High,1500 Meter Run,Track,NA,4:35.54,4:57.95,NA,NA
12,Brandon Lewis,16,Charlemont High,1500 Meter Run,Track,NA,4:31.13,5:03.30,NA,NA
--,Romario Guthrie,15,St. Elizabeth TE,1500 Meter Run,Track,NA,4:29.53,DNS,NA,NA
1,Kadar Bryan,16,Jamaica College,1500 Meter Run,Track,NA,4:29.20,4:15.65,NA,NA
2,Kadeem Willis,15,Kingston College,1500 Meter Run,Track,NA,4:21.45,4:16.08,NA,NA
